,data,tau_x_score,prediction_time,buckets_per_rank,algo,sigma-factor
69,PLR-BLOCKS,0.8917733089579525,1.2774224602689197,2.6873857404021937,Chain-RFR-PI,2.0
70,PLR-BLOCKS,0.8808394160583942,1.277689920912355,2.7135036496350367,Chain-RFR-PI,2.0
71,PLR-BLOCKS,0.8930656934306569,1.2689796322248217,2.644160583941606,Chain-RFR-PI,2.0
72,PLR-BLOCKS,0.8937842778793419,1.2922423070001028,2.6508226691042047,Chain-RFR-PI,2.0
73,PLR-BLOCKS,0.8813528336380256,1.2803825830576818,2.6307129798903106,Chain-RFR-PI,2.0
74,PLR-BLOCKS,0.8859232175502741,1.2697921798465728,2.6910420475319925,Chain-RFR-PI,2.0
75,PLR-BLOCKS,0.8873857404021938,1.278725384904655,2.6782449725776964,Chain-RFR-PI,2.0
76,PLR-BLOCKS,0.8881170018281536,1.2818370797419516,2.6453382084095063,Chain-RFR-PI,2.0
77,PLR-BLOCKS,0.8882998171846435,1.2941903878485586,2.703839122486289,Chain-RFR-PI,2.0
78,PLR-BLOCKS,0.8930530164533821,1.2857014198488754,2.614259597806216,Chain-RFR-PI,2.0
79,PLR-BLOCKS,0.8844606946983548,1.2841136051768856,2.6617915904936016,Chain-RFR-PI,2.0
80,PLR-BLOCKS,0.8959854014598541,1.300307698969411,2.6204379562043796,Chain-RFR-PI,2.0
81,PLR-BLOCKS,0.8948905109489051,1.2901047531112535,2.673357664233577,Chain-RFR-PI,2.0
82,PLR-BLOCKS,0.8923217550274224,1.2702853281840418,2.6087751371115173,Chain-RFR-PI,2.0
83,PLR-BLOCKS,0.8745886654478977,1.2804163010527294,2.7349177330895795,Chain-RFR-PI,2.0
84,PLR-BLOCKS,0.886654478976234,1.287431912375646,2.639853747714808,Chain-RFR-PI,2.0
85,PLR-BLOCKS,0.8912248628884827,1.284671180497016,2.6416819012797075,Chain-RFR-PI,2.0
86,PLR-BLOCKS,0.883180987202925,1.270745637018093,2.680073126142596,Chain-RFR-PI,2.0
87,PLR-BLOCKS,0.8758683729433273,1.2888107347466669,2.7111517367458866,Chain-RFR-PI,2.0
88,PLR-BLOCKS,0.8928702010968922,1.2689202603006662,2.6453382084095063,Chain-RFR-PI,2.0
89,PLR-BLOCKS,0.8833638025594149,1.268825605826921,2.70201096892139,Chain-RFR-PI,2.0
90,PLR-BLOCKS,0.8967153284671533,1.2772872640881725,2.6094890510948905,Chain-RFR-PI,2.0
91,PLR-BLOCKS,0.8844890510948905,1.2791162136421603,2.673357664233577,Chain-RFR-PI,2.0
92,PLR-BLOCKS,0.8882998171846435,1.288441456567864,2.729433272394881,Chain-RFR-PI,2.0
93,PLR-BLOCKS,0.8782449725776965,1.2908594609793298,2.6654478976234004,Chain-RFR-PI,2.0
94,PLR-BLOCKS,0.8804387568555759,1.2954226727212137,2.707495429616088,Chain-RFR-PI,2.0
95,PLR-BLOCKS,0.8917733089579524,1.2746969310399092,2.6654478976234004,Chain-RFR-PI,2.0
96,PLR-BLOCKS,0.876782449725777,1.2850999003972403,2.70201096892139,Chain-RFR-PI,2.0
97,PLR-BLOCKS,0.887020109689214,1.2857082308980543,2.656307129798903,Chain-RFR-PI,2.0
98,PLR-BLOCKS,0.8875685557586838,1.27687995481131,2.6745886654478976,Chain-RFR-PI,2.0
99,PLR-BLOCKS,0.8976234003656307,1.2877961488516203,2.6051188299817185,Chain-RFR-PI,2.0
100,PLR-BREAST,0.8424242424242423,1.197812254488112,4.181818181818182,Chain-RFR-PI,2.0
101,PLR-BREAST,0.6969696969696969,1.1837409953192122,4.636363636363637,Chain-RFR-PI,2.0
