caseid,linksrechts_parteien_1,linksrechts_parteien_2,linksrechts_parteien_3,linksrechts_parteien_4,linksrechts_parteien_5,linksrechts_parteien_6,linksrechts_selbst,erststimme_BTW21,zweitstimme_BTW21,coalition_1,coalition_2,coalition_3,coalition_4,coalition_5,coalition_6,coalition_7,coalition_8,coalition_9,klimawandel_parteien_1,klimawandel_parteien_2,klimawandel_parteien_3,klimawandel_parteien_4,klimawandel_parteien_5,klimawandel_parteien_6,klimawandel_parteien_7,klimawandel_selbst,immigration_parteien_1,immigration_parteien_2,immigration_parteien_3,immigration_parteien_4,immigration_parteien_5,immigration_parteien_6,immigration_parteien_7,immigration_selbst,corona_parteien,kandidateneinstufungen_1,kandidateneinstufungen_2,kandidateneinstufungen_3,kandidateneinstufungen_4,kandidateneinstufungen_5,kandidateneinstufungen_6,education_paul_recode,age,WestOst,hinc,Pos. of LINKE in Ranking,Pos. of GRUENE in Ranking,Pos. of SPD in Ranking,Pos. of CDU/CSU in Ranking,Pos. of FDP in Ranking,Pos. of AFD in Ranking
196.0,7,8,2,6,3,1,3,DIE KANDIDATIN BZW. DEN KANDIDATEN VON DIE LINKE,SPD,2,2,2,2,1,1,3,4,4,6,5,4,6,2,2,7,3,6,6,3,4,2,2,7,3,3,-4,4,3,-4,5,-3,6,65.0,OST,6,2,3,1,4,4,4
198.0,7,7,6,7,8,10,7,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,3,2,2,1,1,4,3,3,5,5,5,4,3,3,2,6,3,3,1,3,3,5,6,7,-3,3,4,1,3,1,2,5,82.0,WEST,977,5,4,1,2,3,6
203.0,977,977,977,977,977,977,3,DIE KANDIDATIN BZW. DEN KANDIDATEN VON BÜNDNIS 90/DIE GRÜNEN,SPD,2,2,2,2,1,1,3,1,4,3,3,4,4,5,977,977,4,7,7,7,7,7,7,7,7,-2,-5,3,-5,3,5,2,3,66.0,WEST,7,3,1,2,3,2,3
211.0,7,7,5,7,7,4,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,1,1,1,1,1,1,4,4,4,6,6,4,5,2,3,3,2,1,1,5,2,3,6,7,5,-2,-5,2,-5,1,-4,1,4,56.0,WEST,3,4,3,1,4,2,4
212.0,8,9,4,8,5,1,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,5,1,1,1,1,1,1,1,1,4,7,4,4,1,4,7,4,5,5,3,6,1,4,7,3,3,0,5,-5,5,-1,-5,5,54.0,WEST,9,1,2,1,1,2,2
218.0,8,9,5,7,6,3,4,DIE KANDIDATIN BZW. DEN KANDIDATEN EINER ANDEREN PARTEI,SPD,3,2,3,2,1,1,4,5,4,3,5,3,6,2,4,5,4,6,7,4,4,2,2,7,6,-3,-1,1,-3,-2,0,0,6,56.0,OST,11,2,4,1,4,3,4
221.0,8,9,3,7,4,1,5,DIE KANDIDATIN BZW. DEN KANDIDATEN VON BÜNDNIS 90/DIE GRÜNEN,SPD,4,1,5,1,1,1,1,1,4,7,7,5,7,3,4,7,3,5,6,2,5,2,1,7,4,3,-4,2,2,0,0,-5,3,46.0,WEST,6,3,1,2,2,3,4
230.0,7,7,5,6,5,3,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,4,1,2,2,1,1,4,5,4,5,5,4,7,1,4,977,3,5,5,5,5,3,4,7,6,4,-4,5,1,0,1,-1,2,66.0,WEST,5,3,2,1,4,4,5
233.0,7,8,7,7,4,5,7,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,1,1,1,1,1,1,5,4,5,4,4,4,4,2,4,7,4,5,5,5,5,3,2,7,5,2,-5,5,2,1,2,2,2,63.0,WEST,6,4,3,1,5,2,6
235.0,7,7,4,6,5,2,4,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,1,1,1,1,1,5,3,5,977,977,3,7,2,977,977,3,4,5,3,3,2,1,7,3,2,-5,5,3,-5,3,0,3,50.0,WEST,5,3,2,1,3,3,3
248.0,6,6,5,6,3,1,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,4,3,3,4,1,1,4,1,4,6,6,2,4,1,1,4,3,4,4,3,3,3,2,7,4,0,1,5,3,0,5,5,3,61.0,WEST,5,4,2,1,4,3,4
251.0,7,7,6,6,5,2,3,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,5,2,2,2,1,1,4,3,4,4,5,4,4,2,3,977,6,5,5,4,5,3,3,7,4,0,-5,2,-1,2,2,2,5,54.0,WEST,5,4,3,1,5,2,6
270.0,5,5,5,5,977,6,977,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,5,1,3,1,1,1,1,1,3,2,977,6,3,2,977,5,5,4,977,3,5,4,7,6,6,4,-5,5,2,1,0,1,4,64.0,OST,5,4,1,3,4,2,4
283.0,7,7,4,6,3,1,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,4,1,4,1,1,1,3,5,5,6,6,2,5,1,3,977,1,6,6,4,3,4,4,7,4,-5,-5,5,0,-5,0,-5,3,56.0,WEST,10,2,2,1,2,2,2
289.0,2,3,4,3,2,2,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,3,1,1,1,3,1,1,1,1,4,6,5,4,2,3,6,5,2,4,4,4,2,2,7,7,5,-4,3,-5,3,-5,2,3,54.0,WEST,3,4,5,2,3,1,2
293.0,8,11,4,8,4,1,4,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,1,1,1,1,1,4,4,5,6,977,4,7,3,2,977,4,5,7,3,5,3,3,7,4,1,-5,5,3,-5,4,-5,3,59.0,WEST,4,3,2,1,3,3,3
298.0,977,977,977,977,977,977,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,1,2,1,1,1,3,3,4,977,977,977,977,977,977,977,4,977,977,977,977,977,977,977,4,-2,-5,-1,-5,-5,-2,-1,1,67.0,WEST,977,3,2,1,3,3,3
301.0,6,6,6,6,6,1,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,1,1,1,1,1,1,5,1,1,7,7,3,7,1,977,977,4,977,977,977,977,977,977,977,3,2,-5,5,3,1,5,5,2,62.0,WEST,9,2,2,1,2,2,2
303.0,2,4,5,4,1,1,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,3,3,3,3,3,1,1,1,4,4,2,3,1,977,6,4,3,4,4,4,1,3,7,7,-3,-5,2,-5,5,0,2,2,59.0,WEST,11,2,2,1,2,2,2
310.0,7,8,4,5,5,2,5,DIE KANDIDATIN BZW. DEN KANDIDATEN VON BÜNDNIS 90/DIE GRÜNEN,SPD,3,2,3,2,1,1,3,3,5,5,5,3,5,3,4,7,5,4,5,4,5,3,3,7,4,-1,-5,4,4,-3,5,0,2,72.0,WEST,6,2,1,1,4,3,5
316.0,8,10,4,7,3,2,3,DIE KANDIDATIN BZW. DEN KANDIDATEN VON BÜNDNIS 90/DIE GRÜNEN,SPD,2,1,3,3,1,1,3,4,4,6,7,3,6,1,3,7,2,6,7,3,5,2,1,7,4,1,0,4,1,-1,4,-4,3,57.0,WEST,7,3,1,2,4,4,5
326.0,10,11,5,7,4,1,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,5,1,1,1,1,1,4,5,5,5,6,1,5,3,3,6,2,7,5,4,7,3,5,7,5,3,-4,5,-2,-4,-1,1,3,70.0,WEST,6,2,2,1,2,2,2
335.0,6,6,4,4,4,1,4,DIE KANDIDATIN BZW. DEN KANDIDATEN DER CDU/CSU,SPD,5,4,4,4,1,1,3,1,3,5,5,5,4,1,4,4,4,4,4,3,4,2,2,7,7,3,-3,5,1,2,3,2,2,53.0,WEST,6,4,3,1,1,2,4
342.0,8,9,5,6,3,2,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,1,1,1,1,1,1,1,1,1,6,7,4,6,1,4,5,5,5,6,4,3,1,2,6,7,-4,-5,3,-5,-4,0,-4,4,53.0,OST,5,2,4,1,4,4,3
350.0,5,5,5,5,5,3,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,3,1,1,1,1,1,4,4,4,4,4,5,4,2,5,3,3,4,4,5,4,4,3,7,4,3,0,4,2,2,2,3,3,54.0,WEST,4,2,2,1,2,2,2
352.0,8,9,5,7,6,2,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,3,1,3,1,1,1,4,4,5,6,7,3,7,1,977,7,3,7,7,4,977,4,977,7,4,3,-5,5,0,-5,2,-5,3,61.0,WEST,3,2,1,1,2,2,2
353.0,9,9,4,5,9,1,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,4,2,1,1,1,1,3,1,2,4,3,4,3,1,5,7,4,5,4,1,3,7,7,7,4,0,-5,-5,-5,-5,-5,-5,2,63.0,WEST,4,2,2,1,2,2,2
