,data,tau_x_score,prediction_time,buckets_per_rank,algo,sigma-factor
548,LR-YEAST,0.9496996996996998,3.408486858710254,9.716216216216216,Chain-RFR-PI,1
549,LR-YEAST,0.9486486486486488,3.3844324830020764,9.804054054054054,Chain-RFR-PI,1
550,LR-REAL-MOVIES,0.3355311355311355,5.031912062625928,7.076923076923077,Chain-RFR-PI,1
551,LR-REAL-MOVIES,0.3622710622710622,5.02308725665797,7.423076923076923,Chain-RFR-PI,1
552,LR-REAL-MOVIES,0.3871794871794871,5.03813478938389,7.0,Chain-RFR-PI,1
553,LR-REAL-MOVIES,0.3483516483516484,5.044118108946231,6.8076923076923075,Chain-RFR-PI,1
554,LR-REAL-MOVIES,0.4146520146520147,5.054282617147511,9.23076923076923,Chain-RFR-PI,1
555,LR-REAL-MOVIES,0.4241758241758241,5.031179706589638,8.576923076923077,Chain-RFR-PI,1
556,LR-REAL-MOVIES,0.3113553113553113,5.037058854728736,7.076923076923077,Chain-RFR-PI,1
557,LR-REAL-MOVIES,0.334065934065934,5.036591657758295,7.0,Chain-RFR-PI,1
558,LR-REAL-MOVIES,0.2926739926739927,5.017280438943044,7.269230769230769,Chain-RFR-PI,1
559,LR-REAL-MOVIES,0.3582417582417582,5.0276978489166915,7.346153846153846,Chain-RFR-PI,1
560,LR-REAL-MOVIES,0.3263736263736264,5.031652668458025,7.423076923076923,Chain-RFR-PI,1
561,LR-REAL-MOVIES,0.3772893772893773,5.053982724248215,7.846153846153846,Chain-RFR-PI,1
562,LR-REAL-MOVIES,0.3358974358974358,5.019333463319601,7.038461538461538,Chain-RFR-PI,1
563,LR-REAL-MOVIES,0.2824175824175824,5.0440477455115404,7.153846153846154,Chain-RFR-PI,1
564,LR-REAL-MOVIES,0.3721611721611722,5.042377875268766,7.1923076923076925,Chain-RFR-PI,1
565,LR-REAL-MOVIES,0.3948717948717949,5.018809771449702,7.461538461538462,Chain-RFR-PI,1
566,LR-REAL-MOVIES,0.3516483516483517,5.044798833452025,6.961538461538462,Chain-RFR-PI,1
567,LR-REAL-MOVIES,0.352014652014652,5.041148044642197,7.3076923076923075,Chain-RFR-PI,1
568,LR-REAL-MOVIES,0.406959706959707,5.051006203619253,8.192307692307692,Chain-RFR-PI,1
569,LR-REAL-MOVIES,0.3538461538461538,5.031730173210769,8.653846153846153,Chain-RFR-PI,1
570,LR-REAL-MOVIES,0.345054945054945,5.043660392115999,8.884615384615385,Chain-RFR-PI,1
571,LR-REAL-MOVIES,0.4065934065934066,5.038111516034653,7.269230769230769,Chain-RFR-PI,1
572,LR-REAL-MOVIES,0.3659340659340659,5.009797211065547,7.384615384615385,Chain-RFR-PI,1
573,LR-REAL-MOVIES,0.3901098901098901,5.05700418657135,7.5,Chain-RFR-PI,1
574,LR-REAL-MOVIES,0.3721611721611721,5.058769490894151,8.615384615384615,Chain-RFR-PI,1
575,LR-REAL-MOVIES,0.3688644688644688,5.025069110669015,6.923076923076923,Chain-RFR-PI,1
576,LR-REAL-MOVIES,0.3018315018315018,5.041750525958303,7.346153846153846,Chain-RFR-PI,1
