,data,tau_x_score,prediction_time,buckets_per_rank,algo,sigma-factor,Algorithm
67,PLR-BLOCKS,0.8310786106032907,2.6204055214794564,2.950639853747715,Chain-RFR-PI,0,Chain-RFR-PI
68,PLR-BLOCKS,0.8144424131627057,2.615082383405945,3.0621572212065815,Chain-RFR-PI,0,Chain-RFR-PI
69,PLR-BLOCKS,0.8420475319926874,2.6195236765488854,2.9926873857404024,Chain-RFR-PI,0,Chain-RFR-PI
70,PLR-BLOCKS,0.841058394160584,2.651126182398685,2.9744525547445257,Chain-RFR-PI,0,Chain-RFR-PI
71,PLR-BLOCKS,0.8454379562043796,2.6204226346144854,2.916058394160584,Chain-RFR-PI,0,Chain-RFR-PI
72,PLR-BLOCKS,0.8438756855575869,2.6193570617615403,2.939670932358318,Chain-RFR-PI,0,Chain-RFR-PI
73,PLR-BLOCKS,0.8349177330895795,2.6486596263016,2.919561243144424,Chain-RFR-PI,0,Chain-RFR-PI
74,PLR-BLOCKS,0.8371115173674589,2.6237320612059327,3.010968921389397,Chain-RFR-PI,0,Chain-RFR-PI
75,PLR-BLOCKS,0.8420475319926874,2.6195182977028653,2.963436928702011,Chain-RFR-PI,0,Chain-RFR-PI
76,PLR-BLOCKS,0.8356489945155393,2.6166303441640353,2.939670932358318,Chain-RFR-PI,0,Chain-RFR-PI
77,PLR-BLOCKS,0.8361974405850092,2.6485991461525367,3.03290676416819,Chain-RFR-PI,0,Chain-RFR-PI
78,PLR-BLOCKS,0.8427787934186471,2.6065545864224786,2.915904936014625,Chain-RFR-PI,0,Chain-RFR-PI
79,PLR-BLOCKS,0.8257769652650823,2.607121592292962,2.9853747714808043,Chain-RFR-PI,0,Chain-RFR-PI
80,PLR-BLOCKS,0.8501824817518248,2.645238110832383,2.8905109489051095,Chain-RFR-PI,0,Chain-RFR-PI
81,PLR-BLOCKS,0.8476277372262774,2.609836551587114,2.9616788321167884,Chain-RFR-PI,0,Chain-RFR-PI
82,PLR-BLOCKS,0.8442413162705668,2.601274969125726,2.8921389396709323,Chain-RFR-PI,0,Chain-RFR-PI
83,PLR-BLOCKS,0.8266910420475321,2.619578423907184,3.025594149908592,Chain-RFR-PI,0,Chain-RFR-PI
84,PLR-BLOCKS,0.836928702010969,2.6442514678070665,2.9213893967093236,Chain-RFR-PI,0,Chain-RFR-PI
85,PLR-BLOCKS,0.8405850091407678,2.6205511416494196,2.9579524680073126,Chain-RFR-PI,0,Chain-RFR-PI
86,PLR-BLOCKS,0.8363802559414991,2.6190614358964925,2.974405850091408,Chain-RFR-PI,0,Chain-RFR-PI
87,PLR-BLOCKS,0.8299817184643511,2.6164084946735633,3.0091407678244972,Chain-RFR-PI,0,Chain-RFR-PI
88,PLR-BLOCKS,0.8393053016453382,2.64287072479906,2.952468007312614,Chain-RFR-PI,0,Chain-RFR-PI
89,PLR-BLOCKS,0.8414990859232176,2.612819067214577,2.979890310786106,Chain-RFR-PI,0,Chain-RFR-PI
90,PLR-BLOCKS,0.8405109489051096,2.61676771380269,2.9215328467153285,Chain-RFR-PI,0,Chain-RFR-PI
91,PLR-BLOCKS,0.835036496350365,2.6599108962519744,3.0,Chain-RFR-PI,0,Chain-RFR-PI
92,PLR-BLOCKS,0.8546617915904936,2.6158175322449617,2.9689213893967095,Chain-RFR-PI,0,Chain-RFR-PI
