,data,tau_x_score,prediction_time,buckets_per_rank,algo,sigma-factor,percentage
133,LR-IRIS,1.0,0.8247106274243508,3.0,Chain-RFR-PI,0.0,
134,LR-IRIS,0.9555555555555556,0.82446053509973,3.0,Chain-RFR-PI,0.0,
135,LR-IRIS,1.0,0.810448619620753,3.0,Chain-RFR-PI,0.0,
136,LR-IRIS,1.0,0.8169888952365834,3.0,Chain-RFR-PI,0.0,
137,LR-IRIS,1.0,0.8187820235388824,3.0,Chain-RFR-PI,0.0,
138,LR-IRIS,0.9555555555555556,0.8328359514360101,3.0,Chain-RFR-PI,0.0,
139,LR-IRIS,0.9111111111111112,0.8055734993868255,3.0,Chain-RFR-PI,0.0,
140,LR-IRIS,1.0,0.8232884452025854,3.0,Chain-RFR-PI,0.0,
141,LR-IRIS,0.9555555555555556,0.8245053832468012,3.0,Chain-RFR-PI,0.0,
142,LR-IRIS,0.9555555555555556,0.8077848327045013,3.0,Chain-RFR-PI,0.0,
143,LR-IRIS,0.9555555555555556,0.8157928548936182,3.0,Chain-RFR-PI,0.0,
144,LR-IRIS,1.0,0.8307096893438556,3.0,Chain-RFR-PI,0.0,
145,LR-IRIS,1.0,0.8130496773720061,3.0,Chain-RFR-PI,0.0,
146,LR-IRIS,0.9555555555555556,0.818415217383479,3.0,Chain-RFR-PI,0.0,
147,LR-IRIS,1.0,0.821043725314872,3.0,Chain-RFR-PI,0.0,
148,LR-IRIS,0.9555555555555556,0.8156981426041544,3.0,Chain-RFR-PI,0.0,
149,LR-IRIS,0.9111111111111112,0.8158083212244964,3.0,Chain-RFR-PI,0.0,
150,LR-LETTER,0.9364907692307692,6.549954190683669,25.9385,Chain-RFR-PI,0.0,
151,LR-LETTER,0.9376630769230768,6.543230491747735,25.9345,Chain-RFR-PI,0.0,
152,LR-LETTER,0.9355630769230768,6.524084308835388,25.932,Chain-RFR-PI,0.0,
153,LR-LETTER,0.9358692307692308,6.535491375701474,25.9275,Chain-RFR-PI,0.0,
154,LR-LETTER,0.9357907692307692,6.520598961763805,25.94,Chain-RFR-PI,0.0,
155,LR-LETTER,0.934393846153846,6.524323527831803,25.934,Chain-RFR-PI,0.0,
156,LR-LETTER,0.9344323076923078,6.518014262117493,25.932,Chain-RFR-PI,0.0,
157,LR-LETTER,0.9364584615384616,6.506753434022141,25.93,Chain-RFR-PI,0.0,
158,LR-LETTER,0.93714,6.533163837081658,25.9415,Chain-RFR-PI,0.0,
159,LR-LETTER,0.9331953846153846,6.507614562110843,25.9395,Chain-RFR-PI,0.0,
160,LR-LETTER,0.9361938461538462,6.544480621863665,25.9425,Chain-RFR-PI,0.0,
161,LR-LETTER,0.9344415384615384,6.523763626157073,25.9325,Chain-RFR-PI,0.0,
162,LR-LETTER,0.9347892307692308,6.5057851080476246,25.9355,Chain-RFR-PI,0.0,
163,LR-LETTER,0.9372169230769232,6.514727951790989,25.9295,Chain-RFR-PI,0.0,
164,LR-LETTER,0.9360769230769233,6.530089919520231,25.946,Chain-RFR-PI,0.0,
165,LR-LETTER,0.9338476923076924,6.50967221119011,25.941,Chain-RFR-PI,0.0,
166,LR-LETTER,0.9362384615384616,6.524908873307777,25.938,Chain-RFR-PI,0.0,
167,LR-LETTER,0.9326415384615384,6.548576372628779,25.9315,Chain-RFR-PI,0.0,
168,LR-LETTER,0.9362907692307691,6.529738455012567,25.9235,Chain-RFR-PI,0.0,
169,LR-LETTER,0.9381061538461538,6.500876671958552,25.939,Chain-RFR-PI,0.0,
170,LR-LETTER,0.9362184615384614,6.495486489262049,25.9235,Chain-RFR-PI,0.0,
171,LR-LETTER,0.9371138461538462,6.527228533151274,25.938,Chain-RFR-PI,0.0,
172,LR-LETTER,0.9370707692307692,6.551087623451715,25.944,Chain-RFR-PI,0.0,
173,LR-LETTER,0.9347230769230768,6.535436345497806,25.941,Chain-RFR-PI,0.0,
174,LR-LETTER,0.9334984615384616,6.536287479673786,25.94,Chain-RFR-PI,0.0,
175,LR-LETTER,0.9363584615384616,6.526647417158276,25.935,Chain-RFR-PI,0.0,
176,LR-LETTER,0.9344492307692308,6.5302268111522634,25.928,Chain-RFR-PI,0.0,
177,LR-LETTER,0.9340784615384616,6.530768109256078,25.931,Chain-RFR-PI,0.0,
178,LR-LETTER,0.9368169230769232,6.528797394325865,25.9375,Chain-RFR-PI,0.0,
179,LR-LETTER,0.9355938461538462,6.543683603596411,25.936,Chain-RFR-PI,0.0,
180,LR-LETTER,0.9368753846153848,6.521430014730467,25.9235,Chain-RFR-PI,0.0,
181,LR-LETTER,0.9332846153846154,6.52899054670728,25.9305,Chain-RFR-PI,0.0,
182,LR-LETTER,0.9358384615384616,6.543167099116912,25.937,Chain-RFR-PI,0.0,
183,LR-LETTER,0.9350753846153844,6.528096325030498,25.9355,Chain-RFR-PI,0.0,
184,LR-LETTER,0.9358815384615384,6.529737154424706,25.9265,Chain-RFR-PI,0.0,
185,LR-LETTER,0.9353107692307692,6.530590280903021,25.935,Chain-RFR-PI,0.0,
186,LR-LETTER,0.9352753846153846,6.511253228914797,25.937,Chain-RFR-PI,0.0,
187,LR-LETTER,0.9364338461538462,6.547726846775949,25.934,Chain-RFR-PI,0.0,
188,LR-LETTER,0.936046153846154,6.490798528604894,25.938,Chain-RFR-PI,0.0,
189,LR-LETTER,0.9345292307692308,6.511553013600476,25.937,Chain-RFR-PI,0.0,
190,LR-LETTER,0.9363984615384616,6.5082895444970035,25.9335,Chain-RFR-PI,0.0,
191,LR-LETTER,0.9352030769230768,6.543761761616148,25.942,Chain-RFR-PI,0.0,
192,LR-LETTER,0.9339830769230768,6.531204669209159,25.9295,Chain-RFR-PI,0.0,
193,LR-LETTER,0.9357046153846154,6.515562593959668,25.936,Chain-RFR-PI,0.0,
194,LR-LETTER,0.93528,6.522345675055996,25.935,Chain-RFR-PI,0.0,
195,LR-LETTER,0.936156923076923,6.519847349213661,25.95,Chain-RFR-PI,0.0,
196,LR-LETTER,0.9360707692307692,6.5184181981495275,25.929,Chain-RFR-PI,0.0,
197,LR-LETTER,0.934753846153846,6.518198398789927,25.944,Chain-RFR-PI,0.0,
198,LR-LETTER,0.9376246153846154,6.520692359705277,25.947,Chain-RFR-PI,0.0,
199,LR-LETTER,0.9350861538461538,6.528757862265989,25.933,Chain-RFR-PI,0.0,
200,LR-LIBRAS,0.9066137566137566,2.3795663583991975,14.97222222222222,Chain-RFR-PI,0.0,
201,LR-LIBRAS,0.9097883597883598,2.3608635814424077,14.97222222222222,Chain-RFR-PI,0.0,
202,LR-LIBRAS,0.928042328042328,2.374519953173166,14.944444444444445,Chain-RFR-PI,0.0,
203,LR-LIBRAS,0.9208994708994708,2.3864860804152843,14.86111111111111,Chain-RFR-PI,0.0,
204,LR-LIBRAS,0.8944444444444444,2.3675857336244297,14.97222222222222,Chain-RFR-PI,0.0,
205,LR-LIBRAS,0.9066137566137566,2.3645309757131394,14.97222222222222,Chain-RFR-PI,0.0,
206,LR-LIBRAS,0.892063492063492,2.374058337908356,15.0,Chain-RFR-PI,0.0,
207,LR-LIBRAS,0.8992063492063492,2.360516691527811,14.97222222222222,Chain-RFR-PI,0.0,
208,LR-LIBRAS,0.9182539682539682,2.363731659034426,14.86111111111111,Chain-RFR-PI,0.0,
209,LR-LIBRAS,0.9195767195767196,2.3550204150165337,15.0,Chain-RFR-PI,0.0,
210,LR-LIBRAS,0.8753968253968255,2.3784337592418177,14.97222222222222,Chain-RFR-PI,0.0,
211,LR-LIBRAS,0.9087301587301588,2.3803131710243326,14.97222222222222,Chain-RFR-PI,0.0,
212,LR-LIBRAS,0.8870370370370372,2.3673744192777946,14.97222222222222,Chain-RFR-PI,0.0,
213,LR-LIBRAS,0.925925925925926,2.3708357661297503,14.944444444444445,Chain-RFR-PI,0.0,
214,LR-LIBRAS,0.9153439153439156,2.3751347121859863,15.0,Chain-RFR-PI,0.0,
215,LR-LIBRAS,0.9037037037037036,2.3547386969835737,14.944444444444445,Chain-RFR-PI,0.0,
216,LR-LIBRAS,0.9394179894179894,2.360162877626672,14.97222222222222,Chain-RFR-PI,0.0,
217,LR-LIBRAS,0.9190476190476192,2.3644540245228383,14.944444444444445,Chain-RFR-PI,0.0,
218,LR-LIBRAS,0.9031746031746032,2.3552910206296027,14.944444444444445,Chain-RFR-PI,0.0,
219,LR-LIBRAS,0.8928571428571428,2.3759194424838737,14.916666666666666,Chain-RFR-PI,0.0,
220,LR-LIBRAS,0.8817460317460317,2.3692905919277583,14.97222222222222,Chain-RFR-PI,0.0,
221,LR-LIBRAS,0.8978835978835978,2.358801275406302,14.944444444444445,Chain-RFR-PI,0.0,
222,LR-LIBRAS,0.8976190476190476,2.353184521205392,14.97222222222222,Chain-RFR-PI,0.0,
223,LR-LIBRAS,0.8743386243386244,2.35902135448391,14.97222222222222,Chain-RFR-PI,0.0,
224,LR-LIBRAS,0.9087301587301588,2.3804159474670774,14.97222222222222,Chain-RFR-PI,0.0,
225,LR-LIBRAS,0.9203703703703704,2.365540739029081,14.916666666666666,Chain-RFR-PI,0.0,
226,LR-LIBRAS,0.9116402116402118,2.375946864306261,14.944444444444445,Chain-RFR-PI,0.0,
227,LR-LIBRAS,0.9145502645502646,2.3498418978614457,14.97222222222222,Chain-RFR-PI,0.0,
228,LR-LIBRAS,0.9079365079365078,2.3662484772554366,14.944444444444445,Chain-RFR-PI,0.0,
229,LR-LIBRAS,0.9253968253968254,2.372039064835222,15.0,Chain-RFR-PI,0.0,
230,LR-LIBRAS,0.8933862433862435,2.3655578441706338,14.916666666666666,Chain-RFR-PI,0.0,
231,LR-LIBRAS,0.9002645502645503,2.375514356307347,14.97222222222222,Chain-RFR-PI,0.0,
232,LR-LIBRAS,0.912962962962963,2.366225633160341,14.97222222222222,Chain-RFR-PI,0.0,
233,LR-LIBRAS,0.8978835978835978,2.366284712337221,15.0,Chain-RFR-PI,0.0,
234,LR-LIBRAS,0.9116402116402118,2.374761975648082,14.944444444444445,Chain-RFR-PI,0.0,
235,LR-LIBRAS,0.9082010582010582,2.3649425179358037,14.97222222222222,Chain-RFR-PI,0.0,
236,LR-LIBRAS,0.9005291005291007,2.358925266687231,14.944444444444445,Chain-RFR-PI,0.0,
237,LR-LIBRAS,0.911111111111111,2.3626979641557737,14.944444444444445,Chain-RFR-PI,0.0,
238,LR-LIBRAS,0.9201058201058202,2.367645022152548,14.944444444444445,Chain-RFR-PI,0.0,
239,LR-LIBRAS,0.933068783068783,2.3752033942487163,14.97222222222222,Chain-RFR-PI,0.0,
240,LR-LIBRAS,0.903968253968254,2.360853988463072,14.97222222222222,Chain-RFR-PI,0.0,
241,LR-LIBRAS,0.8830687830687832,2.3667600484987084,14.944444444444445,Chain-RFR-PI,0.0,
242,LR-LIBRAS,0.9111111111111112,2.39667302861391,15.0,Chain-RFR-PI,0.0,
243,LR-LIBRAS,0.9232804232804234,2.3717356475580855,15.0,Chain-RFR-PI,0.0,
244,LR-LIBRAS,0.903703703703704,2.3705398874610757,15.0,Chain-RFR-PI,0.0,
245,LR-LIBRAS,0.9034391534391536,2.364514210983825,14.97222222222222,Chain-RFR-PI,0.0,
246,LR-LIBRAS,0.9002645502645503,2.3635762386705848,14.97222222222222,Chain-RFR-PI,0.0,
247,LR-LIBRAS,0.8960317460317461,2.3604248492803532,14.916666666666666,Chain-RFR-PI,0.0,
248,LR-LIBRAS,0.8989417989417989,2.3580672931487796,14.944444444444445,Chain-RFR-PI,0.0,
249,LR-LIBRAS,0.926984126984127,2.376822584892488,14.944444444444445,Chain-RFR-PI,0.0,
250,LR-PENDIGITS,0.9716565656565658,2.5798317348415907,9.997272727272728,Chain-RFR-PI,0.0,
251,LR-PENDIGITS,0.9695353535353536,2.5697296291605416,9.998181818181818,Chain-RFR-PI,0.0,
252,LR-PENDIGITS,0.972540693559802,2.5800033050155857,9.99636032757052,Chain-RFR-PI,0.0,
253,LR-PENDIGITS,0.9698109392376908,2.589481357533344,9.997270245677887,Chain-RFR-PI,0.0,
254,LR-PENDIGITS,0.9715094530381154,2.5789535193616713,9.995450409463148,Chain-RFR-PI,0.0,
255,LR-PENDIGITS,0.9715094530381154,2.586692638306469,9.99909008189263,Chain-RFR-PI,0.0,
256,LR-PENDIGITS,0.9704782125164292,2.576907268442946,9.99818016378526,Chain-RFR-PI,0.0,
257,LR-PENDIGITS,0.97280355879082,2.5798775253726176,9.997270245677887,Chain-RFR-PI,0.0,
258,LR-PENDIGITS,0.9736325952886464,2.5828408144922252,9.99636032757052,Chain-RFR-PI,0.0,
259,LR-PENDIGITS,0.9711859265999396,2.573078923999823,9.995450409463148,Chain-RFR-PI,0.0,
260,LR-PENDIGITS,0.9716363636363636,2.5630188844470356,9.998181818181818,Chain-RFR-PI,0.0,
261,LR-PENDIGITS,0.971959595959596,2.565500562047864,9.994545454545454,Chain-RFR-PI,0.0,
262,LR-PENDIGITS,0.9722576079263978,2.5671169525421265,9.994540491355778,Chain-RFR-PI,0.0,
263,LR-PENDIGITS,0.9715296734405016,2.5715931324325703,9.994540491355778,Chain-RFR-PI,0.0,
264,LR-PENDIGITS,0.9702153472854111,2.5801346391499234,9.995450409463148,Chain-RFR-PI,0.0,
265,LR-PENDIGITS,0.9718127590739056,2.5788547173135306,10.0,Chain-RFR-PI,0.0,
266,LR-PENDIGITS,0.9725002527550298,2.5796677598228297,9.99636032757052,Chain-RFR-PI,0.0,
267,LR-PENDIGITS,0.9705995349307452,2.5792116204330093,9.99636032757052,Chain-RFR-PI,0.0,
268,LR-PENDIGITS,0.9698716004448488,2.566454493836344,9.990900818926296,Chain-RFR-PI,0.0,
269,LR-PENDIGITS,0.9706601961379032,2.577373859002938,9.995450409463148,Chain-RFR-PI,0.0,
270,LR-PENDIGITS,0.9690505050505052,2.5733081224217136,9.998181818181818,Chain-RFR-PI,0.0,
271,LR-PENDIGITS,0.9713535353535356,2.5779023334859854,9.998181818181818,Chain-RFR-PI,0.0,
272,LR-PENDIGITS,0.9736730360934182,2.579158594960823,10.0,Chain-RFR-PI,0.0,
273,LR-PENDIGITS,0.970316449297341,2.5703874542389906,9.99636032757052,Chain-RFR-PI,0.0,
274,LR-PENDIGITS,0.9707612981498333,2.569960086431961,9.99636032757052,Chain-RFR-PI,0.0,
275,LR-PENDIGITS,0.972864219997978,2.582204227209893,9.99818016378526,Chain-RFR-PI,0.0,
276,LR-PENDIGITS,0.972965322009908,2.575796909506316,9.997270245677887,Chain-RFR-PI,0.0,
277,LR-PENDIGITS,0.9723384895359416,2.5810707016825876,9.99636032757052,Chain-RFR-PI,0.0,
